array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_3Crop,"Array_3Crop_19,19.bmp",19,19,73.2431640625,349.0,0.5836120401337793,0.26531747648840975,34.23448553724738,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,2.bmp",19,2,72.680908203125,331.5,0.3962940824865511,0.11407558126898001,38.47076812334269,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,20.bmp",19,20,73.50732421875,323.0,0.5066666666666667,0.18151095377830695,39.01281840626232,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,21.bmp",19,21,72.51324152542372,375.5,0.5200831024930748,0.15187197936129473,35.014282800023196,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,3.bmp",19,3,72.515625,328.5,0.5629820051413882,0.24251409621410705,31.78049716414141,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,4.bmp",19,4,72.826416015625,332.5,0.5294585987261147,0.2216576958802809,31.144823004794873,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,5.bmp",19,5,73.048095703125,357.0,0.5125628140703518,0.19115403321208052,31.622776601683793,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,6.bmp",19,6,70.236083984375,359.5,0.5831305758313058,0.18615539782346618,39.11521443121589,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,7.bmp",19,7,72.498291015625,490.5,0.662390276839973,0.3036784670828584,35.12833614050059,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,8.bmp",19,8,71.27880859375,320.0,0.5683836589698046,0.23169879200330407,37.73592452822641,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,9.bmp",19,9,71.075439453125,378.0,0.6253101736972705,0.259109765781892,30.528675044947494,0,0,1,0,0
Array_3Crop,"Array_3Crop_2,1.bmp",2,1,72.01158405172414,447.5,0.41301338255652975,0.1345867145299949,44.181444068749045,0,3,1,0,0
Array_3Crop,"Array_3Crop_2,10.bmp",2,10,83.978271484375,68.5,0.541501976284585,0.17792086475866004,24.331050121192877,1,-1,0,2,2
Array_3Crop,"Array_3Crop_2,11.bmp",2,11,72.98876953125,779.5,0.6840719613865731,0.26632470499547756,63.387695966961914,0,-1,1,0,0
Array_3Crop,"Array_3Crop_2,12.bmp",2,12,75.667724609375,468.0,0.40240756663800514,0.08928265211058292,48.27007354458868,0,0,1,0,0
Array_3Crop,"Array_3Crop_2,13.bmp",2,13,84.8505859375,39.0,0.8387096774193549,0.3308911426669259,32.802438933713454,1,-1,0,2,2
Array_3Crop,"Array_3Crop_2,14.bmp",2,14,72.12548828125,510.5,0.4501763668430335,0.11812924366825715,44.94441010848846,0,0,1,0,0
Array_3Crop,"Array_3Crop_2,15.bmp",2,15,72.3125,505.5,0.4207240948813982,0.10933648833463981,43.01162633521314,0,3,1,0,0
Array_3Crop,"Array_3Crop_2,16.bmp",2,16,73.12060546875,505.5,0.42142559399749896,0.11053812408520655,44.181444068749045,0,3,1,0,0
Array_3Crop,"Array_3Crop_2,17.bmp",2,17,70.008544921875,334.0,0.45659603554340394,0.20274114301754517,43.289721643826724,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,18.bmp",2,18,76.609375,611.5,0.4876395534290271,0.12207430035739121,41.30375285612676,0,-1,1,0,0
Array_3Crop,"Array_3Crop_2,19.bmp",2,19,87.167236328125,60.5,0.6237113402061856,0.10889459627747225,27.459060435491963,1,-1,0,2,2
Array_3Crop,"Array_3Crop_2,2.bmp",2,2,72.067138671875,454.0,0.388366124893071,0.10045835960697874,48.84669896727925,0,3,1,0,0
Array_3Crop,"Array_3Crop_2,20.bmp",2,20,74.015625,503.0,0.4372012168622338,0.11967114733878544,38.47076812334269,0,0,1,0,0
Array_3Crop,"Array_3Crop_2,21.bmp",2,21,72.76244703389831,316.5,0.4949179046129789,0.20497618168530843,38.07886552931954,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,3.bmp",2,3,72.07958984375,298.0,0.4577572964669739,0.18602443604691646,42.190046219457976,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,4.bmp",2,4,72.000732421875,308.0,0.4873417721518987,0.20605268353139697,40.049968789001575,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,5.bmp",2,5,72.0400390625,307.5,0.47711404189294027,0.20897162172902392,40.024992192379,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,6.bmp",2,6,70.06103515625,320.0,0.5745062836624776,0.2782065894184059,40.049968789001575,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,7.bmp",2,7,71.309326171875,340.5,0.508588498879761,0.23139784414301418,39.01281840626232,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,8.bmp",2,8,71.398681640625,348.0,0.4950213371266003,0.20548692996016038,35.77708763999664,0,0,2,0,0
Array_3Crop,"Array_3Crop_2,9.bmp",2,9,73.374755859375,570.5,0.4525981753272511,0.13783019317004577,37.57658845611187,0,0,1,0,0
Array_3Crop,"Array_3Crop_20,1.bmp",20,1,76.2478448275862,308.0,0.6936936936936937,0.2973834074396855,34.20526275297414,0,-1,2,0,0
Array_3Crop,"Array_3Crop_20,10.bmp",20,10,86.25244140625,75.5,0.719047619047619,0.17867286218877945,26.570660511172846,1,-1,0,2,2
